Symbol, Date, Open, High, Low, Close, Volume
AAA,20140102,50.1,50.1,50.09,50.09,1231
AAC,20140102,1.265,1.29,1.235,1.235,364934
AAD,20140102,2.01,2.07,2.01,2.05,1286728
AAX,20140102,0.635,0.64,0.62,0.625,881405
ABC,20140102,3.66,3.73,3.66,3.69,338543
ABP,20140102,2.34,2.36,2.32,2.34,496205
ABU,20140102,0.022,0.023,0.021,0.021,3698023
ABY,20140102,0.335,0.34,0.335,0.34,17300
ABZ,20140102,0.23,0.235,0.23,0.23,463805
ACB,20140102,0.047,0.047,0.047,0.047,10500
ACG,20140102,0.17,0.17,0.165,0.165,537404
ACL,20140102,0.59,0.6,0.585,0.6,122719
ACP,20140102,0.12,0.12,0.11,0.11,50000
ACR,20140102,2.57,2.6,2.53,2.54,240401
ADJ,20140102,0.115,0.115,0.11,0.11,499194
ADN,20140102,0.064,0.064,0.064,0.064,30000
ADO,20140102,0.16,0.18,0.16,0.175,11730426
ADX,20140102,0.015,0.015,0.014,0.015,350000
AEB,20140102,0.19,0.19,0.185,0.19,94554
AEE,20140102,0.039,0.039,0.038,0.038,601000
AEM,20140102,0.013,0.013,0.012,0.012,21977
AEU,20140102,1.53,1.54,1.53,1.54,213053
AFA,20140102,0.095,0.095,0.095,0.095,17350
AFI,20140102,6.25,6.29,6.24,6.26,131584
AFJ,20140102,1.15,1.215,1.14,1.215,214655
AFR,20140102,0.115,0.115,0.115,0.115,10000
AGF,20140102,0.825,0.83,0.82,0.83,116407
AGG,20140102,2.74,2.74,2.73,2.74,383
AGI,20140102,4.39,4.46,4.38,4.38,28515
AGK,20140102,15.03,15.08,14.92,15.02,405506
AGO,20140102,1.16,1.19,1.16,1.175,4980393
AGR,20140102,0.055,0.06,0.055,0.06,215026
AGS,20140102,0.14,0.16,0.14,0.145,954392
AGX,20140102,0.017,0.017,0.017,0.017,50000
AHD,20140102,8.15,8.3,8.14,8.25,59909
AHE,20140102,3.76,3.9,3.76,3.87,216851
AHZ,20140102,0.155,0.175,0.15,0.165,17182823
AIA,20140102,3.25,3.35,3.21,3.24,17183
AIO,20140102,5.73,5.835,5.73,5.77,1102821
AIW,20140102,0.005,0.005,0.005,0.005,380000
AIX,20140102,0.005,0.005,0.005,0.005,3226181
AIZ,20140102,1.465,1.48,1.465,1.48,427
AJA,20140102,3.43,3.45,3.43,3.44,59111
AJD,20140102,1.035,1.04,1.03,1.04,67634
AJL,20140102,1.1,1.1,1.05,1.09,57250
AJM,20140102,0.135,0.14,0.135,0.135,160000
AJX,20140102,0.175,0.175,0.17,0.175,127747
AKK,20140102,0.012,0.012,0.012,0.012,1650000
AKM,20140102,0.056,0.062,0.056,0.062,94300
AKP,20140102,3.62,3.62,3.62,3.62,700
ALA,20140102,0.17,0.17,0.17,0.17,70000
ALF,20140102,1.68,1.695,1.68,1.69,96862
ALK,20140102,0.345,0.35,0.34,0.34,172808
ALL,20140102,4.69,4.69,4.58,4.66,930684
ALQ,20140102,8.8,8.94,8.72,8.89,803692
ALR,20140102,1.36,1.37,1.35,1.35,31000
ALT,20140102,0.027,0.029,0.025,0.026,6510450
ALU,20140102,2.3,2.4,2.24,2.29,91455
ALY,20140102,0.027,0.027,0.027,0.027,7585
ALZ,20140102,3.87,3.89,3.85,3.86,451180
AMA,20140102,0.34,0.34,0.33,0.33,175656
AMC,20140102,10.54,10.62,10.54,10.59,1681440
AMH,20140102,0.92,0.92,0.92,0.92,3324
AMM,20140102,2.18,2.18,2.16,2.17,415117
AMP,20140102,4.42,4.45,4.41,4.43,2376305
AMX,20140102,0.135,0.135,0.13,0.13,1115094
ANG,20140102,3.65,3.74,3.59,3.7,82200
ANI,20140102,2.03,2.03,2.03,2.03,22540
ANN,20140102,20.73,20.95,20.71,20.83,362628
ANO,20140102,0.014,0.014,0.014,0.014,75000
ANP,20140102,0.15,0.15,0.15,0.15,58000
ANQ,20140102,0.009,0.009,0.009,0.009,67000
ANW,20140102,0.007,0.008,0.007,0.008,485000
ANZ,20140102,32.23,32.41,32.055,32.22,1906968
AOG,20140102,2.04,2.07,2.03,2.05,357736
AOH,20140102,0.165,0.165,0.165,0.165,41000
AOK,20140102,0.14,0.145,0.14,0.145,742500
AOM,20140102,0.023,0.023,0.023,0.023,134000
AOU,20140102,0.145,0.145,0.145,0.145,8589
APA,20140102,6.01,6.05,6.01,6.04,635616
APE,20140102,5,5,4.96,5,4638
APG,20140102,0.03,0.03,0.03,0.03,5000
API,20140102,0.6,0.6,0.592,0.6,504212
APN,20140102,0.45,0.46,0.45,0.46,226494
APW,20140102,0.078,0.079,0.078,0.079,95291
APY,20140102,0.026,0.026,0.026,0.026,30000
APZ,20140102,1.58,1.585,1.565,1.58,45352
AQA,20140102,2.3,2.36,2.295,2.36,98655
AQC,20140102,0.006,0.006,0.006,0.006,1370000
AQD,20140102,0.021,0.022,0.02,0.021,740804
AQG,20140102,2.29,2.4,2.26,2.4,639296
AQP,20140102,0.75,0.765,0.73,0.76,160534
AQZ,20140102,1.46,1.46,1.46,1.46,49796
ARD,20140102,0.049,0.049,0.049,0.049,2500
ARF,20140102,1.15,1.18,1.15,1.18,8134
ARG,20140102,7.31,7.4,7.31,7.37,95289
ARI,20140102,1.75,1.82,1.735,1.805,4066235
ARP,20140102,11.71,12,11.71,11.94,23338
ARU,20140102,0.08,0.08,0.077,0.078,380450
ARW,20140102,0.73,0.73,0.73,0.73,1055
ARX,20140102,0.006,0.006,0.006,0.006,179000
ASB,20140102,0.88,0.88,0.87,0.88,99219
ASL,20140102,1.045,1.055,1,1.05,3109590
ASX,20140102,36.98,37.19,36.82,36.85,217039
ASZ,20140102,0.405,0.415,0.4,0.4,134118
ATI,20140102,0.18,0.18,0.18,0.18,68610
ATP,20140102,0.067,0.067,0.064,0.064,33300
ATU,20140102,1.41,1.41,1.39,1.39,27466
ATV,20140102,0.017,0.017,0.016,0.016,106667
AUB,20140102,12,12.02,11.95,12,4854
AUF,20140102,1.12,1.12,1.12,1.12,11528
AUI,20140102,7.98,8.07,7.93,8.07,7883
AUK,20140102,0.075,0.075,0.075,0.075,100000
AUQ,20140102,0.064,0.064,0.06,0.06,128000
AUT,20140102,3.05,3.05,2.97,2.98,526244
AUZ,20140102,0.005,0.005,0.005,0.005,1000
AVA,20140102,0.145,0.145,0.145,0.145,3000
AVB,20140102,0.072,0.076,0.072,0.076,5117198
AVG,20140102,0.435,0.44,0.43,0.43,34496
AVH,20140102,0.135,0.14,0.135,0.14,1561380
AVJ,20140102,0.6,0.6,0.59,0.6,60000
AVK,20140102,0.022,0.023,0.022,0.023,35000
AVQ,20140102,0.016,0.016,0.015,0.015,526250
AVX,20140102,0.012,0.013,0.012,0.013,289500
AWC,20140102,1.12,1.13,1.1,1.125,7288808
AWE,20140102,1.335,1.335,1.29,1.315,1893289
AXE,20140102,0.185,0.185,0.18,0.18,22000
AXZ,20140102,1.3,1.3,1.3,1.3,2454
AYB,20140102,0.08,0.08,0.08,0.08,25000
AYF,20140102,6.33,6.33,6.32,6.32,3669
AYG,20140102,0.005,0.005,0.005,0.005,200000
AYN,20140102,0.002,0.002,0.001,0.002,10177000
AYR,20140102,0.006,0.006,0.006,0.006,293334
AZJ,20140102,4.87,4.97,4.87,4.92,2137929
AZM,20140102,0.028,0.029,0.025,0.029,225828
AZQ,20140102,0.07,0.075,0.07,0.075,242446
AZS,20140102,0.03,0.031,0.03,0.031,1286198
AZV,20140102,0.255,0.255,0.255,0.255,4081
AZZ,20140102,0.55,0.55,0.535,0.535,3393069
BAB,20140102,0.045,0.045,0.045,0.045,12500
BAS,20140102,0.007,0.007,0.007,0.007,100000
BAU,20140102,0.12,0.12,0.12,0.12,364175
BBG,20140102,0.505,0.515,0.495,0.5,1336856
BBX,20140102,0.025,0.025,0.025,0.025,200000
BCC,20140102,0.021,0.023,0.017,0.018,25110075
BCI,20140102,5.23,5.33,5.2,5.28,313119
BCK,20140102,0.065,0.065,0.064,0.064,70000
BCN,20140102,0.003,0.004,0.003,0.004,446700
BCT,20140102,0.097,0.097,0.093,0.093,16000
BDR,20140102,0.785,0.842,0.785,0.835,2969019
BEAR,20140102,18.2,18.27,18.19,18.21,28919
BEN,20140102,11.8,11.97,11.8,11.89,918642
BGA,20140102,4.52,4.54,4.47,4.5,128370
BGG,20140102,0.165,0.165,0.155,0.155,103742
BGL,20140102,0.77,0.77,0.75,0.765,205051
BGS,20140102,0.014,0.014,0.014,0.014,1288500
BHP,20140102,38.12,38.33,38.08,38.2,2781096
BIS,20140102,0.78,0.78,0.77,0.77,1560
BIT,20140102,0.08,0.083,0.08,0.083,130292
BKI,20140102,1.58,1.585,1.57,1.585,140302
BKL,20140102,20.85,21.01,20.77,21.01,5871
BKN,20140102,6.14,6.18,5.89,5.92,855608
BKP,20140102,0.005,0.005,0.005,0.005,2640000
BKW,20140102,14.32,14.48,14.31,14.36,10442
BKY,20140102,0.235,0.235,0.235,0.235,5982
BLA,20140102,1.75,1.855,1.75,1.85,54267
BLD,20140102,4.81,4.86,4.79,4.8,898375
BLG,20140102,0.15,0.155,0.15,0.155,18571
BLK,20140102,0.17,0.17,0.17,0.17,2000
BLR,20140102,0.012,0.013,0.012,0.013,188080
BLT,20140102,0.58,0.6,0.58,0.585,25999
BLY,20140102,0.385,0.41,0.385,0.405,2182660
BMB,20140102,0.099,0.1,0.099,0.1,466735
BMG,20140102,0.004,0.004,0.004,0.004,1110499
BML,20140102,0.003,0.004,0.003,0.004,414800
BMN,20140102,0.05,0.05,0.05,0.05,12500
BMY,20140102,0.013,0.013,0.012,0.012,10000
BNC,20140102,0.3,0.3,0.3,0.3,14173
BND,20140102,0.175,0.175,0.17,0.17,560171
BNE,20140102,0.002,0.002,0.002,0.002,300000
BNO,20140102,0.755,0.755,0.74,0.745,43081
BNR,20140102,0.009,0.009,0.009,0.009,375000
BOE,20140102,0.013,0.013,0.013,0.013,862750
BOL,20140102,0.135,0.135,0.13,0.135,415900
BOQ,20140102,12.2,12.35,12.2,12.25,559948
BPH,20140102,0.015,0.015,0.012,0.012,113850
BPO,20140102,0.003,0.003,0.003,0.003,1321777
BPT,20140102,1.425,1.435,1.4,1.405,3569093
BRB,20140102,0.135,0.135,0.105,0.12,345479
BRC,20140102,0.26,0.28,0.26,0.275,7000
BRG,20140102,8.94,9.02,8.76,8.82,88894
BRL,20140102,0.185,0.2,0.185,0.2,656116
BRO,20140102,0.002,0.002,0.002,0.002,370000
BRU,20140102,1.765,1.782,1.725,1.745,585367
BSA,20140102,0.13,0.13,0.12,0.12,75829
BSL,20140102,5.84,5.96,5.82,5.94,1668044
BTC,20140102,0.02,0.02,0.02,0.02,22000
BTR,20140102,0.26,0.265,0.255,0.265,277779
BTT,20140102,5.75,5.81,5.69,5.78,92490
BUG,20140102,0.6,0.65,0.6,0.65,34359
BUL,20140102,0.075,0.076,0.075,0.075,269418
BUX,20140102,0.165,0.165,0.165,0.165,900
BWP,20140102,2.2,2.225,2.195,2.22,1100216
BXB,20140102,9.18,9.215,9.15,9.19,1313763
BXN,20140102,0.011,0.011,0.011,0.011,200000
BYI,20140102,1.82,1.85,1.8,1.85,6000
BYL,20140102,0.375,0.38,0.375,0.38,126915
CAA,20140102,0.15,0.155,0.15,0.15,60000
CAB,20140102,4.03,4.05,3.99,4.01,170686
CAF,20140102,0.34,0.34,0.34,0.34,44508
CAJ,20140102,0.4,0.41,0.385,0.385,524322
CAM,20140102,1.07,1.07,1.07,1.07,30000
CAQ,20140102,0.09,0.09,0.09,0.09,20000
CAS,20140102,0.3,0.3,0.3,0.3,27250
CAV,20140102,0.025,0.025,0.024,0.024,200000
CAZ,20140102,0.09,0.09,0.085,0.085,12048
CBA,20140102,78.09,78.35,77.54,77.84,1297623
CBQ,20140102,0.006,0.009,0.006,0.009,1075000
CBX,20140102,0.03,0.03,0.03,0.03,120625
CCC,20140102,0.02,0.02,0.02,0.02,163479
CCL,20140102,12.04,12.15,12.04,12.1,481574
CCP,20140102,9.65,9.69,9.44,9.5,34019
CCU,20140102,0.12,0.125,0.12,0.125,521647
CCV,20140102,0.975,0.99,0.975,0.98,552040
CDA,20140102,1.11,1.11,1.055,1.09,206584
CDB,20140102,0.006,0.006,0.006,0.006,109145
CDD,20140102,6.94,7.145,6.8,7.12,312491
CDG,20140102,0.105,0.105,0.105,0.105,120000
CDI,20140102,2.48,2.52,2.48,2.52,152152
CDM,20140102,1.495,1.53,1.492,1.53,185931
CDP,20140102,5.54,5.65,5.54,5.65,29220
CDU,20140102,1.825,1.855,1.805,1.845,236130
CDY,20140102,0.029,0.031,0.029,0.031,2479764
CEL,20140102,0.077,0.077,0.075,0.075,74013
CFE,20140102,0.13,0.13,0.13,0.13,276240
CFU,20140102,0.039,0.039,0.038,0.038,506975
CFX,20140102,1.945,1.955,1.93,1.95,7376055
CGF,20140102,6.25,6.32,6.22,6.25,760783
CGH,20140102,0.4,0.44,0.4,0.41,237973
CGN,20140102,0.078,0.078,0.078,0.078,5000
CGR,20140102,0.175,0.175,0.175,0.175,28000
CGS,20140102,0.36,0.36,0.36,0.36,5055
CHC,20140102,3.71,3.72,3.65,3.68,138486
CHN,20140102,0.13,0.135,0.13,0.135,126500
CIN,20140102,25.3,25.55,25.3,25.55,880
CIR,20140102,0.21,0.21,0.205,0.205,9586
CIW,20140102,0.73,0.73,0.73,0.73,50000
CIX,20140102,0.26,0.26,0.26,0.26,106
CKA,20140102,0.2,0.2,0.2,0.2,316214
CKF,20140102,1.835,1.9,1.825,1.9,212692
CKK,20140102,0.008,0.008,0.008,0.008,500000
CKL,20140102,0.85,0.85,0.84,0.84,25000
CLA,20140102,0.011,0.011,0.011,0.011,980944
CLH,20140102,1.89,1.89,1.825,1.83,350089
CLR,20140102,0.44,0.44,0.44,0.44,104507
CLV,20140102,0.52,0.52,0.515,0.515,15048
CLX,20140102,2.71,2.72,2.65,2.65,27671
CMG,20140102,0.445,0.45,0.44,0.44,227398
CMI,20140102,1.65,1.65,1.63,1.63,3074
CMT,20140102,0.16,0.16,0.15,0.16,45921
CMW,20140102,0.985,0.99,0.98,0.99,619676
CND,20140102,0.21,0.21,0.21,0.21,15000
CNI,20140102,0.77,0.77,0.77,0.77,1012
CNN,20140102,0.003,0.003,0.003,0.003,67592
CNU,20140102,1.3,1.32,1.3,1.315,58559
CNX,20140102,0.017,0.017,0.017,0.017,128733
COD,20140102,0.175,0.19,0.17,0.19,176652
COE,20140102,0.45,0.45,0.447,0.45,51377
COF,20140102,0.245,0.245,0.245,0.245,25476
COH,20140102,58.9,59.45,58.83,59.15,60492
COI,20140102,0.17,0.17,0.165,0.17,577186
COJ,20140102,0.043,0.043,0.043,0.043,15000
COK,20140102,0.039,0.041,0.039,0.041,3669598
COM,20140102,0.038,0.038,0.036,0.036,1737734
COO,20140102,0.14,0.14,0.135,0.14,66982
COY,20140102,0.019,0.019,0.018,0.018,145000
COZ,20140102,0.065,0.065,0.065,0.065,6250
CPA,20140102,1.245,1.25,1.245,1.25,4382713
CPL,20140102,0.225,0.24,0.225,0.24,109434
CPU,20140102,11.4,11.43,11.32,11.33,611526
CQR,20140102,3.61,3.66,3.6,3.63,746901
CRH,20140102,0.35,0.37,0.35,0.35,345257
CRQ,20140102,0.017,0.017,0.017,0.017,20000
CRZ,20140102,10.19,10.48,10.19,10.37,333022
CSE,20140102,0.185,0.19,0.185,0.19,84746
CSL,20140102,69.16,69.39,68.82,68.82,360550
CSP,20140102,0.145,0.145,0.145,0.145,2805
CSR,20140102,2.65,2.685,2.65,2.66,491320
CSS,20140102,0.041,0.045,0.04,0.043,17177705
CSV,20140102,0.9,0.92,0.9,0.9,15936
CTD,20140102,5.55,5.57,5.42,5.53,53755
CTE,20140102,0.46,0.46,0.46,0.46,1000
CTM,20140102,0.185,0.205,0.185,0.205,9954
CTN,20140102,1.06,1.07,1.06,1.07,91020
CTO,20140102,0.048,0.05,0.047,0.05,212578
CTP,20140102,0.37,0.375,0.365,0.365,41460
CTR,20140102,0.015,0.015,0.014,0.014,543004
CTX,20140102,20.05,20.5,19.94,19.99,314149
CUE,20140102,0.13,0.135,0.13,0.135,15000
CUP,20140102,1.94,1.955,1.93,1.942,91427
CUV,20140102,0.98,1,0.98,1,6356
CUX,20140102,0.027,0.027,0.027,0.027,20000
CVN,20140102,0.062,0.064,0.062,0.064,720000
CVO,20140102,1.875,1.875,1.85,1.86,349980
CVV,20140102,0.019,0.019,0.018,0.018,170000
CVW,20140102,0.62,0.64,0.62,0.64,146681
CWE,20140102,0.047,0.048,0.045,0.046,615890
CWN,20140102,17,17.11,16.88,16.93,378326
CWP,20140102,7.66,7.675,7.61,7.61,67150
CXM,20140102,0.135,0.135,0.135,0.135,127000
CXU,20140102,0.11,0.11,0.11,0.11,37776
CYG,20140102,2.88,2.91,2.88,2.9,28474
CYO,20140102,0.015,0.015,0.015,0.015,1532
CYP,20140102,0.515,0.53,0.515,0.53,50147
CYU,20140102,0.033,0.036,0.033,0.036,91750
CYY,20140102,0.06,0.06,0.06,0.06,26134
CZA,20140102,0.105,0.105,0.105,0.105,5000
CZD,20140102,0.079,0.079,0.078,0.078,22540
CZN,20140102,0.013,0.013,0.011,0.011,615500
CZR,20140102,0.025,0.027,0.025,0.027,400000
CZZ,20140102,4.2,4.22,4.18,4.18,5364
DCG,20140102,2.46,2.5,2.46,2.49,131636
DCN,20140102,0.24,0.25,0.24,0.25,17250
DDD,20140102,0.028,0.028,0.028,0.028,50000
DDR,20140102,0.96,0.96,0.95,0.95,4084
DDT,20140102,0.03,0.035,0.03,0.034,9385444
DEG,20140102,0.002,0.002,0.002,0.002,750000
DGH,20140102,0.7,0.7,0.7,0.7,40000
DGI,20140102,0.017,0.017,0.017,0.017,100000
DGO,20140102,0.001,0.001,0.001,0.001,255000
DGX,20140102,0.035,0.035,0.035,0.035,481794
DIG,20140102,0.015,0.016,0.015,0.016,275000
DJS,20140102,3.02,3.05,2.99,3.02,610499
DJW,20140102,4.78,4.8,4.77,4.8,34605
DLS,20140102,1.37,1.37,1.347,1.355,281856
DLX,20140102,5.36,5.45,5.36,5.39,415925
DML,20140102,0.054,0.054,0.05,0.051,4888053
DMP,20140102,16.2,16.51,16.2,16.4,58368
DNA,20140102,0.955,1.02,0.955,1.02,759098
DOW,20140102,4.85,4.9,4.82,4.82,548586
DRA,20140102,0.145,0.18,0.145,0.16,86067
DRK,20140102,0.015,0.016,0.014,0.016,1072000
DRM,20140102,0.55,0.6,0.54,0.6,153189
DSB,20140102,0.29,0.29,0.29,0.29,20000
DSH,20140102,2.1,2.15,2.08,2.13,311618
DTE,20140102,0.11,0.115,0.11,0.11,295467
DTL,20140102,0.94,0.98,0.94,0.97,289122
DTM,20140102,0.032,0.032,0.032,0.032,156625
DUE,20140102,2,2.025,2,2,4419104
DUI,20140102,3.54,3.54,3.52,3.52,5208
DVA,20140102,0.03,0.03,0.029,0.029,62490
DVL,20140102,0.42,0.425,0.42,0.425,63922
DVN,20140102,0.825,0.84,0.79,0.79,50322
DWS,20140102,1.235,1.28,1.23,1.28,101130
DXS,20140102,1.01,1.02,1,1.02,9448664
DYE,20140102,0.305,0.31,0.305,0.31,5300
DYL,20140102,0.019,0.019,0.018,0.018,302000
EAL,20140102,0.625,0.635,0.61,0.63,74971
EAX,20140102,3.31,3.39,3.31,3.39,102719
EBT,20140102,2.84,2.9,2.84,2.9,8092
ECV,20140102,1.53,1.55,1.53,1.55,5000
EDE,20140102,0.017,0.017,0.017,0.017,30000
EEG,20140102,0.098,0.098,0.098,0.098,393366
EER,20140102,0.04,0.04,0.04,0.04,50000
EEU,20140102,15.34,15.34,15.32,15.32,7150
EFE,20140102,0.042,0.042,0.042,0.042,3650
EGO,20140102,0.012,0.013,0.011,0.011,7383434
EGP,20140102,2.48,2.56,2.42,2.53,797644
EHL,20140102,0.23,0.232,0.222,0.23,1911585
ELD,20140102,0.115,0.115,0.11,0.11,118823
ELK,20140102,0.145,0.145,0.145,0.145,100000
ELM,20140102,0.33,0.33,0.325,0.325,13795
ELR,20140102,0.1,0.1,0.1,0.1,10000
ELT,20140102,0.017,0.017,0.017,0.017,300000
EMR,20140102,0.009,0.009,0.009,0.009,1140868
ENE,20140102,6.25,6.38,6.25,6.25,23120
ENT,20140102,0.064,0.065,0.064,0.065,35000
ENU,20140102,0.042,0.042,0.042,0.042,171691
ENV,20140102,1.14,1.15,1.14,1.14,887839
EPD,20140102,0.635,0.635,0.635,0.635,8000
EPW,20140102,2.4,2.4,2.365,2.37,60909
EPX,20140102,1.76,1.775,1.755,1.775,69018
EPY,20140102,0.65,0.65,0.65,0.65,9600
EQE,20140102,0.008,0.008,0.008,0.008,133000
EQX,20140102,0.68,0.68,0.68,0.68,14000
ERA,20140102,1.265,1.28,1.24,1.275,83285
ERJ,20140102,0.002,0.002,0.001,0.002,10090000
ESN,20140102,0.004,0.004,0.004,0.004,407800
ESV,20140102,0.8,0.81,0.8,0.81,33500
ETE,20140102,0.034,0.036,0.034,0.036,144860
EVN,20140102,0.62,0.66,0.615,0.655,1644726
EVR,20140102,0.5,0.535,0.5,0.52,132221
EVZ,20140102,0.04,0.04,0.039,0.039,16983
EWC,20140102,0.39,0.395,0.38,0.385,365960
EXC,20140102,0.016,0.016,0.016,0.016,20000
EXG,20140102,0.07,0.07,0.07,0.07,245332
EXR,20140102,0.008,0.009,0.008,0.009,235000
FAN,20140102,2.01,2.05,2.01,2.05,1110
FAR,20140102,0.04,0.045,0.04,0.043,9869647
FAS,20140102,0.013,0.013,0.011,0.011,9957022
FBU,20140102,7.73,7.9,7.73,7.85,149937
FCN,20140102,0.013,0.013,0.013,0.013,85000
FCR,20140102,0.032,0.032,0.032,0.032,2834
FDC,20140102,2.35,2.36,2.32,2.32,2644702
FFF,20140102,0.02,0.02,0.02,0.02,600000
FFI,20140102,4.33,4.33,4.33,4.33,5045
FGE,20140102,1.835,1.87,1.355,1.52,18605463
