Symbol, Date, Open, High, Low, Close, Volume
FLK,20140102,0.18,0.18,0.18,0.18,652743
FLN,20140102,1.4,1.4,1.39,1.39,48024
FLT,20140102,47.76,48.09,46.8,47.18,85759
FMG,20140102,5.84,5.94,5.82,5.93,6797262
FML,20140102,0.012,0.012,0.011,0.012,3916221
FMS,20140102,0.032,0.033,0.032,0.032,737274
FND,20140102,0.185,0.185,0.185,0.185,6250
FNP,20140102,2.73,2.74,2.63,2.74,54724
FNT,20140102,0.008,0.008,0.008,0.008,358
FOX,20140102,39,39,38.53,38.7,491583
FOY,20140102,0.006,0.006,0.004,0.004,10458351
FPH,20140102,3.59,3.59,3.58,3.58,2299
FPS,20140102,1.4,1.4,1.4,1.4,500
FRI,20140102,1.6,1.6,1.59,1.6,133897
FRM,20140102,0.13,0.13,0.13,0.13,33111
FRR,20140102,0.018,0.018,0.017,0.017,305666
FSA,20140102,1.275,1.28,1.27,1.27,62886
FSE,20140102,0.008,0.008,0.008,0.008,45383
FSF,20140102,5.41,5.41,5.32,5.32,9605
FTE,20140102,0.005,0.005,0.005,0.005,10000
FUN,20140102,0.18,0.18,0.18,0.18,12500
FWD,20140102,3.19,3.19,3.07,3.09,136663
FXJ,20140102,0.645,0.645,0.63,0.635,3006078
FXL,20140102,4.5,4.5,4.43,4.46,238357
FXR,20140102,0.016,0.016,0.016,0.016,189500
FYI,20140102,0.06,0.06,0.06,0.06,5667
GAP,20140102,0.265,0.27,0.265,0.27,22092
GBG,20140102,0.105,0.105,0.1,0.105,1271905
GBT,20140102,3,3.25,3,3.21,162996
GBZ,20140102,0.033,0.037,0.033,0.037,84867
GCN,20140102,0.014,0.014,0.014,0.014,1092860
GCR,20140102,0.005,0.005,0.005,0.005,330219
GCS,20140102,0.485,0.485,0.485,0.485,15000
GDI,20140102,0.87,0.88,0.87,0.88,385475
GDO,20140102,0.295,0.295,0.295,0.295,8898
GDY,20140102,0.079,0.08,0.078,0.078,130320
GEM,20140102,3.18,3.22,3.17,3.18,323589
GFF,20140102,0.69,0.695,0.68,0.68,1700409
GGE,20140102,0.011,0.012,0.011,0.011,814104
GGG,20140102,0.21,0.23,0.205,0.22,467499
GGP,20140102,0.001,0.001,0.001,0.001,1500000
GGX,20140102,0.022,0.022,0.022,0.022,126060
GHC,20140102,1.235,1.235,1.22,1.225,16597
GID,20140102,0.765,0.77,0.76,0.77,51347
GIP,20140102,0.004,0.004,0.004,0.004,3300000
GJT,20140102,1.47,1.48,1.445,1.475,50186
GLA,20140102,0.007,0.007,0.007,0.007,30000
GLH,20140102,0.38,0.435,0.38,0.425,170204
GLL,20140102,0.14,0.14,0.135,0.135,16667
GLM,20140102,0.006,0.006,0.005,0.006,1200000
GLY,20140102,0.167,0.167,0.167,0.167,80000
GMD,20140102,0.012,0.012,0.012,0.012,70000
GMG,20140102,4.78,4.825,4.765,4.78,1767481
GML,20140102,0.1,0.1,0.1,0.1,43500
GMR,20140102,0.011,0.011,0.011,0.011,500000
GNC,20140102,8.58,8.62,8.55,8.59,714978
GNG,20140102,0.51,0.515,0.51,0.515,40215
GOLD,20140102,129.16,132.03,129.16,131.8,3967
GOR,20140102,0.1,0.11,0.1,0.11,529828
GOW,20140102,2.61,2.61,2.59,2.59,4950
GOZ,20140102,2.45,2.47,2.43,2.47,138818
GPT,20140102,3.41,3.46,3.41,3.43,2401586
GRB,20140102,0.24,0.245,0.24,0.245,20000
GRK,20140102,0.001,0.001,0.001,0.001,504975
GRR,20140102,0.255,0.26,0.245,0.25,1483931
GRY,20140102,0.165,0.165,0.16,0.16,452634
GSZ,20140102,0.025,0.025,0.025,0.025,70000
GTE,20140102,0.096,0.1,0.096,0.1,29998
GUD,20140102,5.78,5.93,5.78,5.85,142012
GUF,20140102,0.089,0.099,0.089,0.099,980552
GUN,20140102,0.021,0.025,0.021,0.025,341666
GWA,20140102,3.06,3.06,3,3.05,151127
GXL,20140102,8.6,8.6,8.35,8.35,105579
GXY,20140102,0.048,0.054,0.048,0.054,5755877
HAO,20140102,0.3,0.32,0.3,0.32,32687
HAW,20140102,0.045,0.047,0.045,0.047,27500
HAZ,20140102,0.036,0.037,0.036,0.037,2000374
HCH,20140102,0.425,0.43,0.42,0.425,12386
HFA,20140102,0.725,0.725,0.725,0.725,3360
HGG,20140102,4.22,4.26,4.2,4.25,2049842
HGO,20140102,0.089,0.09,0.088,0.09,181000
HHL,20140102,2.05,2.1,2.05,2.1,10067
HHV,20140102,0.985,0.985,0.98,0.98,229916
HHY,20140102,0.33,0.335,0.33,0.335,11722
HIL,20140102,1.74,1.79,1.74,1.77,192922
HNG,20140102,0.52,0.53,0.52,0.52,22404
HNR,20140102,0.004,0.004,0.004,0.004,80000
HOG,20140102,0.021,0.024,0.021,0.024,80500
HOM,20140102,0.86,0.87,0.85,0.85,6054
HOR,20140102,0.032,0.032,0.032,0.032,16000
HPI,20140102,2.02,2.02,1.995,2,20824
HRL,20140102,0.005,0.005,0.005,0.005,4000
HSN,20140102,1.23,1.31,1.23,1.27,260999
HTA,20140102,0.086,0.086,0.076,0.076,547514
HUB,20140102,1.2,1.2,1.2,1.2,10000
HVN,20140102,3.15,3.215,3.13,3.19,1191341
HZN,20140102,0.31,0.31,0.305,0.31,422841
IAA,20140102,54.62,54.71,52.62,53.01,7382
IAF,20140102,100,100.2,100,100.12,1538
IAG,20140102,5.84,5.88,5.79,5.84,4156914
IAU,20140102,0.315,0.315,0.3,0.31,961702
IAW,20140102,0.082,0.082,0.081,0.081,28986
IBC,20140102,0.56,0.56,0.56,0.56,900
IBG,20140102,0.058,0.059,0.058,0.058,286619
IBK,20140102,42.54,42.54,42.46,42.46,333
IBY,20140102,0.33,0.33,0.325,0.33,291713
ICG,20140102,0.029,0.03,0.029,0.03,17600
ICN,20140102,0.16,0.16,0.155,0.155,36250
ICP,20140102,0.078,0.078,0.078,0.078,4770
ICQ,20140102,0.91,0.91,0.87,0.885,52424
ICS,20140102,0.055,0.06,0.055,0.06,1257666
ICX,20140102,0.1,0.1,0.1,0.1,3800
IDC,20140102,0.043,0.044,0.043,0.044,961473
IDR,20140102,1.9,1.91,1.9,1.9,64351
IDT,20140102,0.375,0.375,0.37,0.37,10840
IDZ,20140102,0.6,0.6,0.6,0.6,1958
IEM,20140102,47.01,47.18,46.2,46.2,38093
IEU,20140102,54.25,54.27,53.55,53.55,24943
IFE,20140102,0.17,0.185,0.17,0.185,160000
IFL,20140102,9.04,9.05,8.955,9,215683
IFM,20140102,0.59,0.6,0.58,0.59,87639
IFN,20140102,0.257,0.26,0.255,0.255,48654
IGO,20140102,3.17,3.23,3.1,3.18,305523
IHD,20140102,17.03,17.06,16.99,17,15548
IHK,20140102,23.18,23.18,23.18,23.18,800
IIN,20140102,6.49,6.49,6.39,6.42,152890
IJH,20140102,150.82,150.9,150.82,150.9,1360
IJP,20140102,13.7,13.7,13.45,13.63,15271
IJR,20140102,122.6,123.04,122.5,123.04,182
ILB,20140102,100.62,100.62,100.62,100.62,871
ILC,20140102,24.51,24.56,24.5,24.52,35528
ILU,20140102,8.67,8.82,8.6,8.76,990173
IMA,20140102,0.145,0.145,0.145,0.145,10000
IMC,20140102,0.01,0.012,0.01,0.011,7566235
IMD,20140102,0.62,0.655,0.565,0.64,505892
IMF,20140102,1.765,1.815,1.76,1.8,467420
IMI,20140102,0.002,0.002,0.002,0.002,1000000
INA,20140102,0.515,0.515,0.51,0.51,224243
INL,20140102,0.009,0.009,0.009,0.009,133333
IOF,20140102,3.15,3.165,3.115,3.12,1508572
IOH,20140102,0.87,0.885,0.87,0.885,4623
IOO,20140102,86.48,87.44,86.48,86.5,2261
IOZ,20140102,23.1,23.13,23.02,23.03,10258
IPB,20140102,0.285,0.29,0.28,0.29,117800
IPE,20140102,0.435,0.435,0.435,0.435,58255
IPL,20140102,2.7,2.7,2.68,2.69,1199032
IPP,20140102,1.935,1.94,1.91,1.94,152758
IPT,20140102,0.036,0.036,0.035,0.035,480000
IRE,20140102,9.52,9.59,9.4,9.4,274353
IRI,20140102,1.03,1.04,1.025,1.04,24357
IRL,20140102,0.009,0.009,0.008,0.009,380000
IRN,20140102,0.165,0.165,0.145,0.15,881004
IRU,20140102,130,130,130,130,300
ISG,20140102,14.72,14.72,14.72,14.72,30
ISN,20140102,0.33,0.33,0.31,0.31,365464
ISO,20140102,3.96,3.96,3.96,3.96,2236
ISU,20140102,1.42,1.43,1.365,1.43,69071
ITD,20140102,0.29,0.29,0.29,0.29,8569
ITT,20140102,0.007,0.007,0.006,0.006,4286000
ITW,20140102,16.09,16.09,16.09,16.09,23
IVC,20140102,11.14,11.15,11.02,11.11,78847
IVE,20140102,74.77,74.77,74.77,74.77,8
IVR,20140102,0.048,0.053,0.048,0.053,109323
IVV,20140102,208.64,209.93,208.5,208.9,5639
IVX,20140102,0.083,0.084,0.077,0.079,250142
IXJ,20140102,97.52,97.52,97.35,97.46,760
IXR,20140102,0.052,0.053,0.05,0.053,185490
IZZ,20140102,43.01,43.3,42.1,42.44,5171
JAL,20140102,0.24,0.24,0.22,0.22,410050
JBH,20140102,21.68,21.79,21.41,21.52,327073
JHX,20140102,12.94,13.09,12.8,12.87,450321
JIN,20140102,2.2,2.2,2.12,2.12,32434
JKA,20140102,0.09,0.095,0.09,0.095,583500
JMB,20140102,0.017,0.017,0.017,0.017,508131
JMS,20140102,0.08,0.081,0.077,0.08,426655
JPR,20140102,0.45,0.45,0.44,0.44,26667
JRL,20140102,0.18,0.18,0.18,0.18,1000
JRV,20140102,0.035,0.035,0.035,0.035,50000
KAM,20140102,0.67,0.68,0.66,0.68,52353
KAR,20140102,4.33,4.49,4.3,4.44,392514
KAS,20140102,0.11,0.115,0.11,0.115,164800
KBC,20140102,0.175,0.175,0.175,0.175,351025
KBL,20140102,0.046,0.046,0.046,0.046,225000
KCN,20140102,0.94,1.045,0.94,1.03,2087612
KFE,20140102,0.1,0.1,0.096,0.1,87945
KGL,20140102,0.11,0.11,0.11,0.11,4600
KGM,20140102,0.01,0.01,0.01,0.01,10000
KMD,20140102,3.2,3.22,3.14,3.18,252759
KNL,20140102,0.15,0.15,0.145,0.15,72752
KOV,20140102,6.25,6.25,6.12,6.12,636
KPL,20140102,0.44,0.44,0.44,0.44,15900
KRC,20140102,0.06,0.06,0.057,0.057,287151
KRM,20140102,0.345,0.36,0.345,0.36,111603
KSC,20140102,1.81,1.81,1.8,1.805,29419
KSN,20140102,0.051,0.051,0.051,0.051,37500
LBL,20140102,0.092,0.1,0.092,0.1,245203
LBT,20140102,0.078,0.078,0.076,0.076,94411
LCM,20140102,1.58,1.61,1.58,1.6,138811
LCR,20140102,0.008,0.008,0.008,0.008,99000
LCT,20140102,0.078,0.079,0.078,0.079,110000
LCY,20140102,0.028,0.028,0.027,0.027,113400
LEG,20140102,0.008,0.008,0.008,0.008,28933
LEI,20140102,16.28,16.31,16.06,16.21,528073
LEP,20140102,2.74,2.76,2.73,2.73,14888
LFC,20140102,0.22,0.22,0.22,0.22,100000
LGO,20140102,0.003,0.003,0.003,0.003,255000
LHC,20140102,1.985,1.99,1.98,1.98,25030
LIC,20140102,1.14,1.15,1.14,1.15,303489
LKO,20140102,0.005,0.005,0.005,0.005,2429500
LLC,20140102,11.21,11.29,11.17,11.18,426548
LLO,20140102,0.25,0.25,0.25,0.25,15000
LMB,20140102,0.175,0.185,0.175,0.185,164470
LMG,20140102,0.006,0.006,0.005,0.005,646956
LNG,20140102,0.29,0.295,0.285,0.29,432326
LNR,20140102,0.24,0.24,0.24,0.24,5000
LRG,20140102,0.18,0.18,0.18,0.18,48500
LRL,20140102,0.115,0.115,0.115,0.115,11000
LRR,20140102,0.003,0.003,0.003,0.003,288425
LTN,20140102,0.065,0.065,0.065,0.065,7700
LYC,20140102,0.295,0.305,0.295,0.305,1531983
LYL,20140102,4.15,4.19,4.06,4.19,31296
MAB,20140102,0.6,0.6,0.6,0.6,15000
MAD,20140102,0.445,0.485,0.445,0.485,802710
MAH,20140102,0.14,0.145,0.137,0.145,2478316
MAK,20140102,0.14,0.14,0.14,0.14,79469
MAQ,20140102,8.33,8.6,8.33,8.6,7079
MAR,20140102,0.007,0.008,0.007,0.008,426881
MAT,20140102,0.23,0.23,0.23,0.23,27275
MBC,20140102,0.27,0.28,0.27,0.27,519917
MBE,20140102,0.275,0.285,0.27,0.275,4653326
MBO,20140102,0.045,0.045,0.045,0.045,117834
MCE,20140102,0.8,0.88,0.8,0.88,67497
MCH,20140102,0.11,0.11,0.11,0.11,52
MCP,20140102,1.55,1.58,1.54,1.54,52579
MCR,20140102,0.585,0.585,0.58,0.585,98345
MCS,20140102,1.54,1.54,1.535,1.535,10766
MDG,20140102,0.057,0.06,0.057,0.06,18000
MDI,20140102,0.03,0.03,0.03,0.03,41667
MDL,20140102,2.75,2.8,2.64,2.75,36032
MEJ,20140102,0.017,0.017,0.017,0.017,23127
MEL,20140102,0.082,0.083,0.082,0.083,60966
MEO,20140102,0.042,0.045,0.042,0.043,1103046
MEP,20140102,0.145,0.155,0.145,0.155,188635
MEU,20140102,0.015,0.015,0.015,0.015,46200
MEY,20140102,0.007,0.007,0.007,0.007,197100
MFF,20140102,1.62,1.65,1.61,1.64,101331
MFG,20140102,10.77,10.89,10.69,10.78,164190
MGL,20140102,0.026,0.026,0.025,0.025,257297
MGR,20140102,1.685,1.71,1.685,1.695,7653374
MGU,20140102,0.015,0.015,0.015,0.015,75000
MGX,20140102,1.02,1.037,1.015,1.035,900161
MHI,20140102,0.22,0.22,0.22,0.22,15000
MHM,20140102,0.078,0.078,0.078,0.078,35000
MIN,20140102,11.97,11.97,11.83,11.92,237518
MIR,20140102,2.84,2.84,2.73,2.73,48882
MIX,20140102,0.17,0.17,0.17,0.17,110000
MIZ,20140102,0.006,0.006,0.006,0.006,815000
MKB,20140102,0.31,0.315,0.31,0.315,509561
MLB,20140102,1.8,1.85,1.78,1.815,97737
MLD,20140102,2.64,2.65,2.53,2.56,75752
MLM,20140102,0.05,0.05,0.05,0.05,31358
MLT,20140102,4.26,4.27,4.23,4.23,84970
MLX,20140102,0.17,0.18,0.17,0.18,109139
MMC,20140102,0.016,0.017,0.016,0.017,1295776
MML,20140102,2.06,2.18,2.02,2.16,820906
MMS,20140102,11.85,12.24,11.81,12.15,238933
MMX,20140102,0.045,0.046,0.043,0.043,112500
MNB,20140102,0.003,0.004,0.003,0.004,5500000
MNC,20140102,0.031,0.032,0.031,0.031,100771
MND,20140102,18.75,18.75,18.18,18.21,183544
MNE,20140102,0.019,0.022,0.019,0.02,359470
MNF,20140102,1.785,1.845,1.775,1.825,188532
MNM,20140102,0.049,0.053,0.049,0.053,133000
MNW,20140102,0.31,0.315,0.305,0.305,338091
MNY,20140102,0.945,0.95,0.945,0.95,26527
MOC,20140102,2.87,2.9,2.87,2.9,99175
MOD,20140102,0.02,0.02,0.02,0.02,128000
MOL,20140102,0.115,0.115,0.115,0.115,17000
MOX,20140102,0.025,0.025,0.025,0.025,102773
MOY,20140102,0.19,0.19,0.18,0.185,32754
MOZ,20140102,0.014,0.014,0.013,0.013,240000
MPO,20140102,0.185,0.19,0.185,0.185,193057
MQA,20140102,2.76,2.81,2.71,2.72,289444
MQG,20140102,55.1,55.95,54.86,55.08,216170
MRF,20140102,0.095,0.095,0.095,0.095,9000
MRM,20140102,3.5,3.5,3.35,3.37,254853
MRP,20140102,0.185,0.185,0.18,0.18,7706
MRQ,20140102,0.14,0.14,0.135,0.14,73334
MRV,20140102,0.002,0.002,0.002,0.002,60000
MRX,20140102,0.008,0.009,0.008,0.009,298838
MSB,20140102,5.87,5.95,5.87,5.92,329949
MSC,20140102,0.003,0.003,0.003,0.003,4956849
MSR,20140102,0.032,0.033,0.032,0.033,150000
MSV,20140102,0.05,0.053,0.05,0.052,238853
MTE,20140102,0.027,0.027,0.027,0.027,200000
MTH,20140102,0.011,0.011,0.011,0.011,247327
MTS,20140102,3.17,3.18,3.15,3.16,2087564
MTU,20140102,6.27,6.32,6.24,6.3,351596
MUE,20140102,0.035,0.035,0.035,0.035,73000
MUT,20140102,0.002,0.002,0.002,0.002,2136860
MVP,20140102,1.175,1.175,1.17,1.175,27576
MVT,20140102,0.145,0.145,0.14,0.14,6451
MXI,20140102,1.195,1.2,1.19,1.19,153781
MYE,20140102,0.76,0.76,0.73,0.73,14787
MYG,20140102,0.028,0.031,0.028,0.031,66350
MYR,20140102,2.76,2.77,2.74,2.76,874848
MYS,20140102,4.86,4.93,4.86,4.87,19108
MYT,20140102,1.975,1.98,1.945,1.975,26531
MYX,20140102,0.735,0.74,0.705,0.705,329190
MZI,20140102,0.012,0.012,0.011,0.011,350000
NAB,20140102,34.85,35,34.65,34.83,1355937
NAN,20140102,0.84,0.845,0.84,0.845,24832
NBL,20140102,0.6,0.6,0.6,0.6,2000
NCC,20140102,1.1,1.1,1.09,1.09,2913
NCK,20140102,2.64,2.64,2.59,2.64,6292
NCM,20140102,7.85,8.46,7.82,8.45,4630873
NCR,20140102,0.014,0.015,0.012,0.014,3319846
NDO,20140102,0.036,0.036,0.035,0.036,865000
NEA,20140102,0.55,0.59,0.55,0.585,1457067
NEC,20140102,1.97,1.985,1.935,1.975,258574
NEN,20140102,0.265,0.325,0.265,0.315,9660095
NEU,20140102,0.115,0.115,0.105,0.105,1835367
NFE,20140102,0.225,0.245,0.225,0.225,7368
NGE,20140102,0.018,0.018,0.016,0.016,1334498
NGF,20140102,0.135,0.135,0.135,0.135,2632
NHC,20140102,3.38,3.4,3.33,3.38,75312
NHF,20140102,2.72,2.73,2.66,2.7,180509
NKP,20140102,0.089,0.089,0.084,0.085,547100
NMI,20140102,0.043,0.044,0.034,0.044,4286917
NMS,20140102,0.047,0.047,0.047,0.047,24000
NNW,20140102,0.37,0.38,0.36,0.38,290033
NOD,20140102,0.065,0.065,0.065,0.065,103189
NOE,20140102,0.175,0.175,0.175,0.175,18487
NPX,20140102,3.1,3.13,3.1,3.13,3943
NRT,20140102,0.2,0.205,0.195,0.195,218841
NSE,20140102,0.12,0.122,0.12,0.12,375455
NSP,20140102,0.074,0.075,0.074,0.075,120789
NSR,20140102,1.03,1.03,1.02,1.02,458315
NST,20140102,0.79,0.83,0.785,0.82,2764894
NTC,20140102,0.335,0.36,0.335,0.36,424650
NTM,20140102,0.022,0.022,0.022,0.022,15478
NTU,20140102,0.2,0.2,0.19,0.19,15000
NUF,20140102,4.44,4.44,4.37,4.4,182324
NVT,20140102,6.45,6.48,6.31,6.36,419080
NWE,20140102,0.012,0.012,0.012,0.012,190000
NWH,20140102,1.38,1.395,1.34,1.39,1378330
NWS,20140102,19.97,20.29,19.97,20.1,52107
NWT,20140102,0.45,0.475,0.45,0.455,704035
NXM,20140102,0.046,0.046,0.046,0.046,100000
NXS,20140102,0.07,0.07,0.068,0.068,463627
NXT,20140102,2.2,2.26,2.19,2.23,142873
OBJ,20140102,0.033,0.034,0.032,0.033,2083986
OBL,20140102,0.019,0.019,0.018,0.018,1661203
OEL,20140102,0.105,0.105,0.1,0.105,766428
OEX,20140102,0.059,0.06,0.054,0.055,6328611
OFX,20140102,2.9,2.91,2.77,2.88,69163
OGC,20140102,1.65,1.75,1.65,1.72,1389146
OGH,20140102,0.047,0.048,0.042,0.048,150000
OGX,20140102,0.13,0.13,0.13,0.13,29000
OGY,20140102,0.021,0.022,0.021,0.022,160000
OKN,20140102,1.6,1.655,1.6,1.64,84757
OKU,20140102,0.005,0.005,0.005,0.005,300000
OMH,20140102,0.395,0.395,0.395,0.395,5323
ONC,20140102,0.28,0.28,0.28,0.28,50000
OPG,20140102,0.045,0.045,0.045,0.045,324253
ORA,20140102,1.16,1.205,1.16,1.18,11281533
ORE,20140102,2.48,2.51,2.465,2.49,134736
ORG,20140102,14.18,14.24,14.04,14.06,760332
ORI,20140102,24.05,24.22,23.93,24.07,400400
ORL,20140102,4.41,4.5,4.39,4.4,78421
ORN,20140102,0.063,0.063,0.063,0.063,28350
OSH,20140102,8.19,8.24,8.14,8.17,1027569
OSL,20140102,0.13,0.155,0.13,0.15,2145532
OSP,20140102,0.7,0.7,0.68,0.7,11657
OTE,20140102,0.001,0.001,0.001,0.001,2542973
OTH,20140102,0.6,0.605,0.575,0.6,130003
OVL,20140102,0.02,0.02,0.018,0.02,296667
OXX,20140102,0.23,0.23,0.23,0.23,12000
OZF,20140102,20.35,20.35,20.31,20.31,2895
OZG,20140102,0.195,0.195,0.19,0.19,77440
OZL,20140102,3.18,3.3,3.15,3.26,1358600
OZR,20140102,10.23,10.23,10.23,10.23,400
PAA,20140102,0.011,0.011,0.011,0.011,3816983
PAB,20140102,0.054,0.056,0.053,0.053,11592149
PAN,20140102,0.245,0.25,0.24,0.245,189488
PBG,20140102,0.64,0.65,0.635,0.65,1030155
PBT,20140102,0.77,0.785,0.77,0.78,298993
PCL,20140102,0.061,0.064,0.061,0.062,1391796
PDI,20140102,0.019,0.02,0.019,0.02,420000
PDM,20140102,0.005,0.005,0.005,0.005,5000
PDN,20140102,0.47,0.475,0.455,0.46,2556992
PDY,20140102,0.01,0.011,0.009,0.01,9398241
PDZ,20140102,0.32,0.32,0.315,0.315,25000
PEA,20140102,0.4,0.4,0.4,0.4,5000
PEC,20140102,0.045,0.053,0.045,0.053,25003
PEK,20140102,0.067,0.067,0.065,0.065,201556
PEN,20140102,0.021,0.022,0.021,0.021,890189
PEX,20140102,0.25,0.25,0.25,0.25,5000
PFG,20140102,0.145,0.145,0.145,0.145,50000
PFL,20140102,1.39,1.4,1.38,1.4,26434
PGF,20140102,0.96,0.97,0.96,0.97,243447
PGH,20140102,3.28,3.41,3.28,3.31,852855
PGI,20140102,0.041,0.043,0.041,0.042,709195
PGL,20140102,0.265,0.265,0.26,0.26,20000
PGS,20140102,0.016,0.016,0.016,0.016,617199
PHG,20140102,0.345,0.345,0.345,0.345,5825
PHI,20140102,3.3,3.3,3.3,3.3,3000
PIM,20140102,0.007,0.007,0.007,0.007,34000
